ts,ts_unix,btc_ticker,btc_mid,btc_spread,btc_yes_bid,btc_yes_ask,btc_volume,btc_oi,btc_floor_strike,btc_time_to_expiry,btc_ob_imbalance,btc_real_price,btc_price_vs_strike_pct,btc_mom_5s,btc_mom_15s,btc_mom_30s,btc_error,eth_ticker,eth_mid,eth_spread,eth_yes_bid,eth_yes_ask,eth_volume,eth_oi,eth_floor_strike,eth_time_to_expiry,eth_ob_imbalance,eth_real_price,eth_price_vs_strike_pct,eth_mom_5s,eth_mom_15s,eth_mom_30s,eth_error,sol_ticker,sol_mid,sol_spread,sol_yes_bid,sol_yes_ask,sol_volume,sol_oi,sol_floor_strike,sol_time_to_expiry,sol_ob_imbalance,sol_real_price,sol_price_vs_strike_pct,sol_mom_5s,sol_mom_15s,sol_mom_30s,sol_error,xrp_ticker,xrp_mid,xrp_spread,xrp_yes_bid,xrp_yes_ask,xrp_volume,xrp_oi,xrp_floor_strike,xrp_time_to_expiry,xrp_ob_imbalance,xrp_real_price,xrp_price_vs_strike_pct,xrp_mom_5s,xrp_mom_15s,xrp_mom_30s,xrp_error,n_valid
2026-02-25T04:22:45.058+00:00,1771993365.058297,KXBTC15M-26FEB242330-30,0.865,0.01,86,87,95725,27973,65434.98,435.081651,-0.6046,65541.895,0.1634,,,,,KXETH15M-26FEB242330-30,0.65,0.04,63,67,14484,5675,1905.34,435.074364,0.5196,1906.795,0.0764,,,,,KXSOL15M-26FEB242330-30,0.66,0.04,64,68,5247,1740,81.8797,435.081576,-0.1613,81.905,0.0309,,,,,KXXRP15M-26FEB242330-30,0.475,0.03,46,49,6143,2484,1.369,435.071806,-0.9089,1.368,-0.073,,,,,4
2026-02-25T04:22:46.816+00:00,1771993366.816375,KXBTC15M-26FEB242330-30,0.865,0.01,86,87,95725,27973,65434.98,433.241235,-0.8428,65541.895,0.1634,,,,,KXETH15M-26FEB242330-30,0.65,0.04,63,67,14484,5675,1905.34,433.241046,-0.5847,1906.795,0.0764,,,,,KXSOL15M-26FEB242330-30,0.66,0.04,64,68,5247,1740,81.8797,433.252639,0.1226,81.905,0.0309,,,,,KXXRP15M-26FEB242330-30,0.475,0.03,46,49,6143,2484,1.369,433.237609,-0.9571,1.368,-0.073,,,,,4
2026-02-25T04:22:48.807+00:00,1771993368.80794,KXBTC15M-26FEB242330-30,0.865,0.01,86,87,95725,27973,65434.98,431.255197,-0.6265,65541.895,0.1634,0.0,,,,KXETH15M-26FEB242330-30,0.65,0.04,63,67,14484,5675,1905.34,431.245159,0.4197,1906.795,0.0764,0.0,,,,KXSOL15M-26FEB242330-30,0.66,0.04,64,68,5247,1740,81.8797,431.2456,-0.1735,81.905,0.0309,0.0,,,,KXXRP15M-26FEB242330-30,0.475,0.03,46,49,6143,2484,1.369,431.245067,0.0641,1.368,-0.073,0.0,,,,4
2026-02-25T04:22:50.825+00:00,1771993370.825253,KXBTC15M-26FEB242330-30,0.865,0.01,86,87,95725,27973,65434.98,429.251157,-0.6454,65541.895,0.1634,0.0,,,,KXETH15M-26FEB242330-30,0.65,0.04,63,67,14484,5675,1905.34,429.239941,-0.4558,1906.795,0.0764,0.0,,,,KXSOL15M-26FEB242330-30,0.66,0.04,64,68,5247,1740,81.8797,429.234634,0.7318,81.905,0.0309,0.0,,,,KXXRP15M-26FEB242330-30,0.475,0.03,46,49,6143,2484,1.369,429.245095,0.0623,1.368,-0.073,0.0,,,,4
2026-02-25T04:22:52.827+00:00,1771993372.827695,KXBTC15M-26FEB242330-30,0.865,0.01,86,87,95725,27973,65434.98,427.229561,-0.6668,65541.895,0.1634,0.0,0.0,,,KXETH15M-26FEB242330-30,0.65,0.04,63,67,14484,5675,1905.34,427.233289,0.2308,1906.795,0.0764,0.0,0.0,,,KXSOL15M-26FEB242330-30,0.66,0.04,64,68,5247,1740,81.8797,427.235044,0.3742,81.905,0.0309,0.0,0.0,,,KXXRP15M-26FEB242330-30,0.475,0.03,46,49,6143,2484,1.369,427.23351,-0.7113,1.368,-0.073,0.0,0.0,,,4
2026-02-25T04:22:54.903+00:00,1771993374.903799,KXBTC15M-26FEB242330-30,0.865,0.01,86,87,95725,27973,65434.98,425.152719,-0.6692,65541.895,0.1634,0.0,0.0,,,KXETH15M-26FEB242330-30,0.65,0.04,63,67,14484,5675,1905.34,425.151318,0.2421,1906.795,0.0764,0.0,0.0,,,KXSOL15M-26FEB242330-30,0.66,0.04,64,68,5247,1740,81.8797,425.151585,-0.0596,81.905,0.0309,0.0,0.0,,,KXXRP15M-26FEB242330-30,0.475,0.03,46,49,6143,2484,1.369,425.151428,0.0526,1.368,-0.073,0.0,0.0,,,4
2026-02-25T04:22:56.814+00:00,1771993376.814788,KXBTC15M-26FEB242330-30,0.865,0.01,86,87,95725,27973,65434.98,423.238782,-0.6813,65586.005,0.2308,0.0,0.0,,,KXETH15M-26FEB242330-30,0.65,0.04,63,67,14484,5675,1905.34,423.234833,0.2572,1908.82,0.1826,0.0,0.0,,,KXSOL15M-26FEB242330-30,0.66,0.04,64,68,5247,1740,81.8797,423.23532,0.5446,82.01,0.1591,0.0,0.0,,,KXXRP15M-26FEB242330-30,0.475,0.03,46,49,6143,2484,1.369,423.23444,-0.7367,1.3694,0.0292,0.0,0.0,,,4
2026-02-25T04:22:58.818+00:00,1771993378.818915,KXBTC15M-26FEB242330-30,0.865,0.01,86,87,95725,27973,65434.98,421.241617,-0.6672,65586.005,0.2308,0.0,0.0,,,KXETH15M-26FEB242330-30,0.86,0.06,83,89,15783,6279,1905.34,421.230491,0.2689,1908.82,0.1826,0.21,0.21,,,KXSOL15M-26FEB242330-30,0.66,0.04,64,68,5247,1740,81.8797,421.241449,0.0213,82.01,0.1591,0.0,0.0,,,KXXRP15M-26FEB242330-30,0.475,0.03,46,49,6143,2484,1.369,421.230162,-0.7393,1.3694,0.0292,0.0,0.0,,,4
2026-02-25T04:23:00.829+00:00,1771993380.82992,KXBTC15M-26FEB242330-30,0.865,0.01,86,87,95725,27973,65434.98,419.243146,-0.6817,65586.005,0.2308,0.0,0.0,0.0,,KXETH15M-26FEB242330-30,0.86,0.06,83,89,15783,6279,1905.34,419.231811,0.4748,1908.82,0.1826,0.21,0.21,0.21,,KXSOL15M-26FEB242330-30,0.66,0.04,64,68,5247,1740,81.8797,419.231715,0.0622,82.01,0.1591,0.0,0.0,0.0,,KXXRP15M-26FEB242330-30,0.475,0.03,46,49,6143,2484,1.369,419.230625,0.2009,1.3694,0.0292,0.0,0.0,0.0,,4
2026-02-25T04:23:02.822+00:00,1771993382.822902,KXBTC15M-26FEB242330-30,0.865,0.01,86,87,95725,27973,65434.98,417.242351,-0.6314,65586.005,0.2308,0.0,0.0,0.0,,KXETH15M-26FEB242330-30,0.86,0.06,83,89,15783,6279,1905.34,417.226452,0.2728,1908.82,0.1826,0.0,0.21,0.21,,KXSOL15M-26FEB242330-30,0.66,0.04,64,68,5247,1740,81.8797,417.232494,0.62,82.01,0.1591,0.0,0.0,0.0,,KXXRP15M-26FEB242330-30,0.475,0.03,46,49,6143,2484,1.369,417.232138,-0.0276,1.3694,0.0292,0.0,0.0,0.0,,4
